match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5273748810,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,195,False,13633,12,26,7.5,0.46,524.35
NA1_5273737863,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,170,True,17532,23,22,7.73,1.05,796.91
NA1_5273724536,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,221,False,30682,23,31,7.13,0.74,989.74
NA1_5273716280,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,205,True,31739,22,29,7.07,0.76,1094.45
NA1_5273709787,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,214,False,24515,40,35,6.11,1.14,700.43
NA1_5273700812,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,241,False,21095,23,30,8.03,0.77,703.17
NA1_5273691150,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,162,False,33423,19,26,6.23,0.73,1285.5
NA1_5273683339,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,217,False,38448,18,34,6.38,0.53,1130.82
NA1_5273628777,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,216,False,64219,17,37,5.84,0.46,1735.65
NA1_5273618177,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,15,True,5256,8,15,1.0,0.53,350.4
NA1_5273074327,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,145,True,20542,16,21,6.9,0.76,978.19
NA1_5273065970,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,236,True,50539,25,35,6.74,0.71,1443.97
NA1_5273056154,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,213,False,27460,25,34,6.26,0.74,807.65
NA1_5273051095,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,145,False,27802,17,27,5.37,0.63,1029.7
NA1_5273046800,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,159,False,27736,16,27,5.89,0.59,1027.26
NA1_5273035659,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,248,False,61395,28,36,6.89,0.78,1705.42
NA1_5272902254,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,209,True,24767,16,27,7.74,0.59,917.3
NA1_5272884293,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,False,98,True,4151,10,15,6.53,0.67,276.73
NA1_5272418007,1685tY3BudmTYGj96kH8v_SrLI-qK3GPZPrtSX5FdH-91Xbh9XohDN3TZwdhjblGXKJoUx7bqQNZUA,True,277,False,72191,37,42,6.6,0.88,1718.83
